FILME,EXAME,ALVO,MIN,MAX
20TMA12MR,Espessura,20,19.4,20.6
20TMA12MR,Gramatura,17.4,16.9,17.9
20TMA12MR,COF NT-NT imediato,0.55,0.25,0.6
20TMA12MR,COF NT-NT,0.35,0.2,0.4
20TMA12MR,COF T-T imediato,0.4,0.25,0.5
20TMA12MR,COF T-T,0.3,0.2,0.35
20TMA12MR,Tensão superficial EXT,42,38,46
20TMA12MR,Faixa de selagem EXT,115,,130
20TMA12MR,Faixa de selagem INT,105,,125
20TMA12MR,Força de selagem EXT,400,300,
20TMA12MR,Força de selagem INT,400,300,
20TMA12MR,TIS INT,105,100,110
20TMA12MR,Encolhimento DM,3,,5
20TMA12MR,Encolhimento DT,1,,3
20TMA12MR,Brilho ,55,50,
20TMA12MR,Brilho mate,10,,16
20TMA12MR,Difusão,70,60,
20TMA12MR,Força de tração DM,140,130,
20TMA12MR,Força de tração DT,240,220,
20TMA12MR,Alongamento DM,170,,195
20TMA12MR,Alongamento DT,50,,70
20TMA12MR,Módulo elástico DM,1600,,
20TMA12MR,Módulo elástico DT,2500,,
20TMA32MR-L2,Espessura,20,19.4,20.6
20TMA32MR-L2,Gramatura,17.4,16.9,17.9
20TMA32MR-L2,COF NT-NT imediato,0.45,0.25,0.52
20TMA32MR-L2,COF NT-NT,0.35,0.2,0.4
20TMA32MR-L2,COF T-T imediato,0.4,0.25,0.5
20TMA32MR-L2,COF T-T,0.3,0.2,0.35
20TMA32MR-L2,Tensão superficial EXT,42,38,46
20TMA32MR-L2,Tensão superficial INT,38,38,42
20TMA32MR-L2,Faixa de selagem EXT,105,,125
20TMA32MR-L2,Faixa de selagem INT,105,,125
20TMA32MR-L2,Força de selagem EXT,400,300,
20TMA32MR-L2,Força de selagem INT,400,300,
20TMA32MR-L2,TIS INT,105,100,110
20TMA32MR-L2,TIS EXT,105,100,110
20TMA32MR-L2,Encolhimento DM,3,,5
20TMA32MR-L2,Encolhimento DT,1,,3
20TMA32MR-L2,Brilho ,55,50,
